Average test error: 0.056
Distinct weight vectors and their counts:
Weight vector: [0. 0. 0. 0.], Count: 4
Weight vector: [-1.2667  2.8183 -2.426  -1.8862], Count: 1
Weight vector: [-3.4701  -3.1764  -2.95609 -2.73618], Count: 36
Weight vector: [-4.8361  -2.99224 -2.0507  -1.15558], Count: 5
Weight vector: [-3.386    0.61446 -6.1064  -2.75218], Count: 2
Weight vector: [-8.0625  -5.04914  4.8626  -3.08667], Count: 4
Weight vector: [-7.94658 -1.82724  1.4324  -5.93237], Count: 3
Weight vector: [ -7.82034 -12.14884   5.1445    0.18613], Count: 6
Weight vector: [ -7.69908 -11.92537   4.67123   1.15637], Count: 1
Weight vector: [-11.48088  -9.04077   2.41543   1.31371], Count: 1
Weight vector: [-11.97169  -6.19557  -1.22817  -1.78669], Count: 10
Weight vector: [-9.77739 -1.64527 -6.20417 -4.51209], Count: 2
Weight vector: [-13.79919  -9.94927   6.35083  -6.02199], Count: 3
Weight vector: [-13.68887  -7.97517   2.98403  -6.67458], Count: 14
Weight vector: [-13.38806  -7.80136   1.22983  -6.18537], Count: 4
Weight vector: [-13.05481  -4.49056  -3.27827 -10.19737], Count: 2
Weight vector: [-12.45431  -2.55786  -6.56707 -10.52152], Count: 6
Weight vector: [-16.46451 -13.21466  -2.42827  -5.45692], Count: 4
Weight vector: [-17.06038 -10.73356  -5.29557  -6.3552 ], Count: 1
Weight vector: [-16.00518  -9.54786  -7.93667  -6.24487], Count: 11
Weight vector: [-14.51558  -6.11906 -11.96757  -7.67077], Count: 6
Weight vector: [-14.567559 -13.17116   -9.91347   -4.51997 ], Count: 1
Weight vector: [-15.578759 -10.17276  -11.07987   -6.13847 ], Count: 39
Weight vector: [-14.260459  -8.27106  -14.39097   -6.073399], Count: 7
Weight vector: [-15.782459 -14.90936   -8.64187   -6.180309], Count: 13
Weight vector: [-14.815379 -11.06676  -13.57327  -10.312609], Count: 1
Weight vector: [-16.347579 -16.16336   -6.89537  -10.137629], Count: 3
Weight vector: [-15.785259  -15.16186    -9.16797   -10.1436776], Count: 8
Weight vector: [-16.114499  -10.70666   -13.73977    -9.1548776], Count: 6
Weight vector: [-17.824899  -15.48466    -7.52887    -8.7574776], Count: 3
Weight vector: [-17.448529  -16.30824    -6.74344    -8.0122376], Count: 4
Weight vector: [-16.889139  -16.61864    -6.56037    -7.5657076], Count: 2
Weight vector: [-16.8904242 -16.48001    -6.75688    -7.5575322], Count: 1
Weight vector: [-17.1705742 -13.40711   -10.14258   -10.4730322], Count: 28
Weight vector: [-17.6900742 -10.14381   -13.23208    -9.4881322], Count: 4
Weight vector: [-16.1090742  -9.27472   -15.54588    -8.6640122], Count: 1
Weight vector: [-17.5085742 -11.19092   -13.03048    -8.0648922], Count: 2
Weight vector: [-16.4891742 -10.08802   -15.33048    -7.4709422], Count: 1
Weight vector: [-19.4029742 -19.55912    -5.56368    -8.0731022], Count: 1
Weight vector: [-20.1829242 -16.32692    -8.84568   -11.1735022], Count: 12
